,Company,Valuation ($B),Date Joined,Country,City,Industry,Investors
10,FTX,$32 ,7/20/2021,Bahamas,,Fintech,"Sequoia Capital, Thoma Bravo, Softbank"
242,HyalRoute,$3.50 ,5/26/2020,Singapore,,Mobile & telecommunications,Kuang-Chi
316,Amber Group,$3 ,6/21/2021,Hong Kong,,Fintech,"Tiger Global Management, Tiger Brokers, DCM Ventures"
346,Moglix,$2.60 ,5/17/2021,Singapore,,E-commerce & direct-to-consumer,"Jungle Ventures, Accel, Venture Highway"
371,Coda Payments,$2.50 ,4/15/2022,Singapore,,Fintech,"GIC. Apis Partners, Insight Partners"
482,Advance Intelligence Group,$2 ,9/23/2021,Singapore,,Artificial intelligence,"Vision Plus Capital, GSR Ventures, ZhenFund"
495,Trax,$2 ,7/22/2019,Singapore,,Artificial intelligence,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
865,Carousell,$1.10 ,9/15/2021,Singapore,,E-commerce & direct-to-consumer,"500 Global, Rakuten Ventures, Golden Gate Ventures"
917,LinkSure Network,$1 ,1/1/2015,China,,Shanghai,Mobile & telecommunications
941,WeLab,$1 ,11/8/2017,Hong Kong,,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund"
1000,PatSnap,$1 ,3/16/2021,Singapore,,Internet software & services,"Sequoia Capital China, Shunwei Capital Partners, Qualgro"
1027,Matrixport,$1.05 ,6/1/2021,Singapore,,Fintech,"Dragonfly Captial, Qiming Venture Partners, DST Global"
1032,Carro,$1 ,6/14/2021,Singapore,,E-commerce & direct-to-consumer,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures"
1044,bolttech,$1 ,7/1/2021,Singapore,,Fintech,"Mundi Ventures, Doqling Capital Partners, Activant Capital"
1054,NIUM,$1 ,7/13/2021,Singapore,,Fintech,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures"
1065,Cider,$1 ,9/2/2021,Hong Kong,,E-commerce & direct-to-consumer,"Andreessen Horowitz, DST Global, IDG Capital"
1077,Ninja Van,$1 ,9/27/2021,Singapore,,"Supply chain, logistics, & delivery","B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
1129,ONE,$1 ,12/8/2021,Singapore,,Internet software & services,"Temasek, Guggenheim Investments, Qatar Investment Authority"
