,Investors,Number of Investments
0,Sequoia Capital,20
1,Kuang-Chi,1
2,Tiger Global Management,15
3,Jungle Ventures,2
4,GIC. Apis Partners,1
5,Vision Plus Capital,2
6,Hopu Investment Management,1
7,500 Global,1
8,Sequoia Capital China,30
9,Dragonfly Captial,1
10,SingTel Innov8,1
11,Mundi Ventures,1
12,Vertex Ventures SE Asia,1
13,Andreessen Horowitz,33
14,B Capital Group,2
15,Temasek,3
16,Founders Fund,5
17,Khosla Ventures,12
18,index Ventures,1
19,Tencent Holdings,13
20,SoftBank Group,13
21,Forerunner Ventures,3
22,GGV Capital,9
23,Hillhouse Capital Management,4
24,Accel,29
25,Accel Partners,5
26,Benchmark,6
27,IDG Capital,9
28,Lightspeed Venture Partners,14
29,New Enterprise Associates,18
30,General Catalyst,13
31,DST Global,7
32,Coatue Management,6
33,Vickers Venture Partners,1
34,KKR,7
35,Caffeinated Capital,3
36,LTW Capital,1
37,Initialized Capital,5
38,Aviation Industry Corporation of China,1
39,Activant Capital,1
40,DFJ Growth Fund,2
41,Accel India,1
42,MindWorks Ventures,1
43,Index Ventures,14
44,General Catalyst Partners,1
45,Y Combinator,8
46,DJF,1
47,Upper90,1
48,Ribbit Capital,1
49,Bessemer Venture Partners,13
50,Redalpine Venture Partners,1
51,Summit Partners,3
52,Vattenfall,1
53,Nintendo,1
54,Target Global,2
55,BOLDstart Ventures,3
56,Addition,1
57,Global Founders Capital,7
58,American Express Ventures,1
59,Didi Chuxing,1
60,Sutter Hill Ventures,2
61,01 Advisors,1
62,D1 Capital Partners,1
63,Kaalari Capital,1
64,Tenaya Capital,1
65,Bloomberg Beta,1
66,Sixth Street Partners,2
67,Union Square Ventures,5
68,Sequoia Capital India,12
69,Insight Venture Partners,3
70,Menlo Ventures,5
71,Volkswagen Group,1
72,Norwest Venture Partners,6
73,Morgan Creek Digital,1
74,Tencent,3
75,Third Point,1
76,General Atlantic,11
77,Slack Fund,1
78,Institutional Venture Partners,4
79,TA Associates,1
80,Technology Crossover Ventures,4
81,BPI France,1
82,Atomico,3
83,Barter Ventures,1
