,City,Industry,Investors
10,,Fintech,"Sequoia Capital, Thoma Bravo, Softbank"
242,,Mobile & telecommunications,Kuang-Chi
316,,Fintech,"Tiger Global Management, Tiger Brokers, DCM Ventures"
346,,E-commerce & direct-to-consumer,"Jungle Ventures, Accel, Venture Highway"
371,,Fintech,"GIC. Apis Partners, Insight Partners"
482,,Artificial intelligence,"Vision Plus Capital, GSR Ventures, ZhenFund"
495,,Artificial intelligence,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
865,,E-commerce & direct-to-consumer,"500 Global, Rakuten Ventures, Golden Gate Ventures"
917,,Shanghai,Mobile & telecommunications
941,,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund"
1000,,Internet software & services,"Sequoia Capital China, Shunwei Capital Partners, Qualgro"
1027,,Fintech,"Dragonfly Captial, Qiming Venture Partners, DST Global"
1032,,E-commerce & direct-to-consumer,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures"
1044,,Fintech,"Mundi Ventures, Doqling Capital Partners, Activant Capital"
1054,,Fintech,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures"
1065,,E-commerce & direct-to-consumer,"Andreessen Horowitz, DST Global, IDG Capital"
1077,,"Supply chain, logistics, & delivery","B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
1129,,Internet software & services,"Temasek, Guggenheim Investments, Qatar Investment Authority"
